institution,ukprn,uoa_id,uoa_name,case_id,case_title,panel,gpa_score,binary_impact_label,Flesch Reading Ease,Dale-Chall Readability Score,SMOG Index,Automated Readability Index,Sentiment (mean),Sentiment (10th),Sentiment (50th),Sentiment (75th),Sentiment (90th),Number of organizations mentioned,Number of named individuals,Number of countries or regions mentioned,Any monetary values mentioned (list them with currency),Total monetary value,Word count,Paragraph count
Queen Mary University of London,10007775,3.0,"Allied Health Professions, Dentistry, Nursing and Pharmacy",84dd9f99-be6b-4b8c-aeac-0ec32e7f2c93,‘One-stop’ Diagnosis: Vastly Improved Prognosis for Behçet’s Syndrome,A,3.375,High,27.404086426715907,13.328692808312825,16.602585142122656,18.505827597840756,0.2891,-0.3228,0.2732,0.7269,0.8521,20,7,5,#; #; #,0.0,1235,23
"University of Salford, The",10007156,25.0,Area Studies,66cf0dd6-b7b5-4c8c-b6d7-46c0d440327b,‘Open Secret’? Transforming public and practitioner understanding of intelligence,D,3.0,Low,24.703108651911492,12.104389496981891,17.43106684494139,19.531060123338015,0.2831,-0.0618,0.1779,0.6705,0.814,28,7,16,"###; ###  4; 13,630 \",13634.0,1786,18
Queen Mary University of London,10007775,9.0,Physics,550cc3bd-3e2e-4f52-8dd2-b82c3fc6ddd2,‘Physics Research in School Environments’ PRiSE: Enabling school student and teacher access to cutting-edge physics,B,3.125,High,29.058684082229632,13.149916372795971,16.328770432102804,18.418247909199522,0.3683,0.0,0.4033,0.7003,0.8982,17,7,7,"an estimated £27,000",27000.0,1620,27
University of Edinburgh,10007790,27.0,English Language and Literature,4c4ca9f6-4aaa-4a9f-b317-3c6ec89e39e4,‘Sewing society together’: realising the healing potential of applied theatre in areas of conflict or inequality,D,3.75,High,29.97296037916712,11.849141559271489,17.23572143437198,20.70214906312153,0.2655,-0.3302,0.25,0.5857,0.8568,15,27,15,###  Impact; ###  Impact,0.0,1398,13
Goldsmiths' College,10002718,34.0,"Communication, Cultural and Media Studies, Library and Information Management",a28989d5-1aea-4026-9568-3254f2c287d2,Advocating for Media Reform,D,3.667,High,19.533036565977767,13.267637824589295,19.366199639587187,21.47288767050896,0.1621,-0.1406,0.0,0.4019,0.6597,67,29,2,###; ###  4,4.0,1781,21
Goldsmiths' College,10002718,34.0,"Communication, Cultural and Media Studies, Library and Information Management",a28989d5-1aea-4026-9568-3254f2c287d2,Advocating for Media Reform,D,3.0,Low,19.533036565977767,13.267637824589295,19.366199639587187,21.47288767050896,0.1621,-0.1406,0.0,0.4019,0.6597,67,29,2,###; ###  4,4.0,1781,21
University of Southampton,10007158,28.0,History,8683d219-0009-4ef5-94c6-394800b81094,‘Sweet Tooth’: animating the archive of slavery through movement and sound.,D,3.5,High,29.85778175262405,11.820076591406782,17.395924223388068,18.48581190191387,0.0212,-0.7003,0.0,0.3609,0.4972,23,15,11,###; ###  4; 40 \,44.0,2112,19
Kingston University,10003678,33.0,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",73dbc3bb-1e89-40d3-bb77-8a51e505297e,"‘Taking Care’: Enhancing UK nursing training using mixed-methods drama research to reconceptualise, teach and promote embodied ‘care’ in clinical interactions",D,3.5,High,32.292665927459126,12.261749927064853,16.363286374688848,18.71873472949389,0.2735,0.0,0.2732,0.4939,0.6917,28,3,3,###  Impact on Trainees/Professionals: ‘Sometimes; ###  Impact; ###  Impact; ###,0.0,1719,20
Guildhall School of Music & Drama,10007825,33.0,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",b0cc817d-6c01-47db-ac53-ab369de00cb9,"‘Taking Care’: Enhancing UK nursing training using mixed-methods drama research to reconceptualise, teach and promote embodied ‘care’ in clinical interactions",D,4.0,High,31.948203698253906,12.308681769668434,16.445232584200262,18.825606060606056,0.2647,0.0,0.2724,0.4939,0.6483,28,3,3,###  Impact on Trainees/Professionals: ‘Sometimes; ###  Impact; ###  Impact; ###,0.0,1727,20
Manchester Metropolitan University,10004180,27.0,English Language and Literature,ca73bba6-6f7a-420e-a802-d4ae6e5ae610,‘Talking across differences’: Enabling new writing from the multilingual classroom to the global lockdown,D,3.7,High,31.818469379087787,12.09392926281416,17.17964600770924,18.489257534479023,0.4423,0.0,0.5563,0.7781,0.8827,21,11,12,"140,000",140000.0,1739,9
